scenario_name,platform,persona_name,count,mean,std,ci_lower,ci_upper
influenza_a,P1,authority_trusting,1,1.0,,,
influenza_a,P1,neutral_prudent,1,1.0,,,
influenza_a,P1,risk_sensitive,1,3.0,,,
influenza_a,P2,authority_trusting,2,1.5,2.1213203435596424,-1.439999999999999,4.4399999999999995
influenza_a,P2,neutral_prudent,2,2.0,1.4142135623730951,0.04000000000000026,3.96
influenza_a,P2,risk_sensitive,2,3.5,0.7071067811865476,2.52,4.4799999999999995
influenza_a,P3,authority_trusting,2,2.0,2.8284271247461903,-1.9199999999999995,5.92
influenza_a,P3,neutral_prudent,2,2.0,2.8284271247461903,-1.9199999999999995,5.92
influenza_a,P3,risk_sensitive,2,2.0,2.8284271247461903,-1.9199999999999995,5.92
mycoplasma_pneumonia,P1,authority_trusting,1,0.0,,,
mycoplasma_pneumonia,P1,neutral_prudent,1,0.0,,,
mycoplasma_pneumonia,P1,risk_sensitive,1,3.0,,,
mycoplasma_pneumonia,P2,authority_trusting,2,2.5,2.1213203435596424,-0.43999999999999906,5.4399999999999995
mycoplasma_pneumonia,P2,neutral_prudent,2,2.0,2.8284271247461903,-1.9199999999999995,5.92
mycoplasma_pneumonia,P2,risk_sensitive,2,3.0,1.4142135623730951,1.0400000000000003,4.96
mycoplasma_pneumonia,P3,authority_trusting,2,0.0,0.0,0.0,0.0
mycoplasma_pneumonia,P3,neutral_prudent,2,1.5,2.1213203435596424,-1.439999999999999,4.4399999999999995
mycoplasma_pneumonia,P3,risk_sensitive,2,2.0,2.8284271247461903,-1.9199999999999995,5.92
