run_id,agent_id,scenario_name,persona_name,condition_name,climate_type,repeat_index,info1_polarity,info2_polarity,credible_choice,like_choice,share_choice,comment_choice,reason,negative_choice_index,credibility_negative,like_negative,share_negative,comment_negative,status,error_message,raw_response,timestamp
73ca3649-8561-4636-b813-3d37b3b2bee7,agent_000001,mycoplasma_pneumonia,risk_sensitive,independent,none,0,positive,negative,negative,negative,none,support_negative,担忧潜在风险被低估,3,1,1,0,1,ok,,,2026-03-30T17:04:58.161337+00:00
cae4143e-725f-42e5-8e32-2087a0e86e9d,agent_000002,mycoplasma_pneumonia,authority_trusting,independent,none,0,positive,negative,positive,none,none,neutral,更相信专家和官方媒体信息,0,0,0,0,0,ok,,,2026-03-30T17:04:58.963049+00:00
985cc866-72c1-45b7-8608-846d6abe47c2,agent_000003,mycoplasma_pneumonia,neutral_prudent,independent,none,0,positive,negative,neutral,none,none,neutral,信息矛盾，需进一步验证,0,0,0,0,0,ok,,,2026-03-30T17:04:59.654569+00:00
e400a0a0-be24-49ad-93b2-5ae7b3d29b62,agent_000004,mycoplasma_pneumonia,risk_sensitive,low_feedback,positive_leaning,0,positive,negative,negative,negative,none,neutral,谨慎看待风险，不盲目乐观,2,1,1,0,0,ok,,,2026-03-30T17:05:00.711455+00:00
a84d4324-da1f-450e-9d5d-565384239f06,agent_000005,mycoplasma_pneumonia,authority_trusting,low_feedback,positive_leaning,0,positive,negative,negative,positive,none,neutral,专家说法更可靠，无需过度恐慌,1,1,0,0,0,ok,,,2026-03-30T17:05:01.673187+00:00
dc70e0c6-259c-4191-8531-e00c21225321,agent_000006,mycoplasma_pneumonia,neutral_prudent,low_feedback,positive_leaning,0,positive,negative,positive,positive,none,neutral,专家信息更可靠，多数评论支持理性看待,0,0,0,0,0,ok,,,2026-03-30T17:05:02.835132+00:00
b7e48132-ffff-4e2c-9bcc-cdb9e0eb2ed2,agent_000004,mycoplasma_pneumonia,risk_sensitive,low_feedback,negative_leaning,0,positive,negative,negative,negative,negative,support_negative,用户评论普遍支持负向信息,4,1,1,1,1,ok,,,2026-03-30T17:05:03.755079+00:00
5be18fef-430d-44db-8306-9621243035ea,agent_000005,mycoplasma_pneumonia,authority_trusting,low_feedback,negative_leaning,0,positive,negative,negative,negative,negative,support_negative,医疗拥挤和亲身经历更可信,4,1,1,1,1,ok,,,2026-03-30T17:05:04.649534+00:00
38f8c6d1-dffe-48dc-b847-a60572aecfb3,agent_000006,mycoplasma_pneumonia,neutral_prudent,low_feedback,negative_leaning,0,positive,negative,negative,negative,negative,support_negative,医院拥挤与家长担忧更直观,4,1,1,1,1,ok,,,2026-03-30T17:05:05.596646+00:00
e53b5c2f-a834-4fd5-991e-95f52296c20e,agent_000007,mycoplasma_pneumonia,risk_sensitive,high_interaction,positive_leaning,0,positive,negative,neutral,none,none,neutral,信息矛盾，需更多证据,0,0,0,0,0,ok,,,2026-03-30T17:05:06.606246+00:00
0f7d3142-d1b8-41b3-b962-b6529c8ed7d8,agent_000008,mycoplasma_pneumonia,authority_trusting,high_interaction,positive_leaning,0,positive,negative,positive,positive,none,neutral,更信任专家观点，避免传播恐慌,0,0,0,0,0,ok,,,2026-03-30T17:05:07.881637+00:00
75fe4cfe-3961-44b4-8ed4-bb71eb9eca10,agent_000009,mycoplasma_pneumonia,neutral_prudent,high_interaction,positive_leaning,0,positive,negative,neutral,none,none,neutral,信息矛盾，需更多数据支持,0,0,0,0,0,ok,,,2026-03-30T17:05:09.709088+00:00
8ce1a51f-f560-41b0-904a-3c2c5eba09f0,agent_000007,mycoplasma_pneumonia,risk_sensitive,high_interaction,negative_leaning,0,positive,negative,negative,negative,negative,support_negative,多数用户认为风险被低估,4,1,1,1,1,ok,,,2026-03-30T17:05:10.744612+00:00
e898d8e5-9d81-4dbf-af0d-8959b7a224ec,agent_000008,mycoplasma_pneumonia,authority_trusting,high_interaction,negative_leaning,0,positive,negative,positive,none,none,neutral,专家信息更可靠，但公众担忧明显,0,0,0,0,0,ok,,,2026-03-30T17:05:12.384155+00:00
ab9afc15-e86a-467e-901d-f014a7c4ee78,agent_000009,mycoplasma_pneumonia,neutral_prudent,high_interaction,negative_leaning,0,positive,negative,neutral,negative,negative,support_negative,多数用户担忧风险被低估,3,0,1,1,1,ok,,,2026-03-30T17:05:13.624861+00:00
27529386-d776-4e05-b2ca-4d9ef18b5c76,agent_000001,influenza_a,risk_sensitive,independent,none,0,positive,negative,negative,none,negative,support_negative,谨慎对待潜在风险，关注未公开数据,3,1,0,1,1,ok,,,2026-03-30T17:05:14.502069+00:00
aba20f89-e337-497c-9e7f-665d07a80c11,agent_000002,influenza_a,authority_trusting,independent,none,0,positive,negative,negative,none,none,neutral,专家观点更可信,1,1,0,0,0,ok,,,2026-03-30T17:05:15.766524+00:00
9cbb4595-9e55-4082-938c-33f84d841f46,agent_000003,influenza_a,neutral_prudent,independent,none,0,positive,negative,negative,none,none,neutral,信息矛盾，需更多证据,1,1,0,0,0,ok,,,2026-03-30T17:05:16.662571+00:00
cf523b05-7f7b-40a1-aeaa-d2cecfeb15f8,agent_000004,influenza_a,risk_sensitive,low_feedback,positive_leaning,0,positive,negative,negative,negative,none,support_negative,潜在风险被低估，需保持警惕,3,1,1,0,1,ok,,,2026-03-30T17:05:17.483582+00:00
1b566d8d-9a90-42c1-8565-eb153004dcc7,agent_000005,influenza_a,authority_trusting,low_feedback,positive_leaning,0,positive,negative,positive,positive,none,support_positive,专家观点更可靠，数据支持乐观判断,0,0,0,0,0,ok,,,2026-03-30T17:05:18.629314+00:00
b1cea4f1-9678-431e-be78-62599c7e9f05,agent_000006,influenza_a,neutral_prudent,low_feedback,positive_leaning,0,positive,negative,negative,none,none,neutral,两方信息都有依据,1,1,0,0,0,ok,,,2026-03-30T17:05:19.350080+00:00
a6f5da9a-d7f2-4e59-a118-4d69caab0552,agent_000004,influenza_a,risk_sensitive,low_feedback,negative_leaning,0,positive,negative,negative,negative,negative,support_negative,医院拥挤与恢复缓慢暗示风险被低估,4,1,1,1,1,ok,,,2026-03-30T17:05:20.174505+00:00
78cc0f77-1941-45d7-b9c9-bb147ebf1c17,agent_000005,influenza_a,authority_trusting,low_feedback,negative_leaning,0,positive,negative,negative,negative,none,support_negative,专家观点更客观可靠,3,1,1,0,1,ok,,,2026-03-30T17:05:21.127440+00:00
24f017ee-2339-4d71-a38a-0b398fada242,agent_000006,influenza_a,neutral_prudent,low_feedback,negative_leaning,0,positive,negative,negative,negative,none,support_negative,医院拥挤与恢复时间长引发担忧,3,1,1,0,1,ok,,,2026-03-30T17:05:21.975349+00:00
47e64d3a-caed-4d17-b224-201bf412ade8,agent_000007,influenza_a,risk_sensitive,high_interaction,positive_leaning,0,positive,negative,neutral,none,none,neutral,信息冲突，需进一步观察,0,0,0,0,0,ok,,,2026-03-30T17:05:22.720490+00:00
86afdf6a-f322-4763-9825-ed137dd70496,agent_000008,influenza_a,authority_trusting,high_interaction,positive_leaning,0,positive,negative,positive,positive,none,neutral,多数用户倾向谨慎乐观,0,0,0,0,0,ok,,,2026-03-30T17:05:23.957295+00:00
bbc09906-dffb-425f-8fee-251787993238,agent_000009,influenza_a,neutral_prudent,high_interaction,positive_leaning,0,positive,negative,neutral,none,none,neutral,信息两方均有支持,0,0,0,0,0,ok,,,2026-03-30T17:05:25.179157+00:00
50e0bafd-1ad0-44e9-9338-2253dc012079,agent_000007,influenza_a,risk_sensitive,high_interaction,negative_leaning,0,positive,negative,negative,negative,negative,support_negative,多数用户认为风险被低估,4,1,1,1,1,ok,,,2026-03-30T17:05:26.005666+00:00
c521707f-ef8e-423a-9f6d-d1a81792ee54,agent_000008,influenza_a,authority_trusting,high_interaction,negative_leaning,0,positive,negative,negative,negative,negative,support_negative,多数评论认为风险被低估,4,1,1,1,1,ok,,,2026-03-30T17:05:27.235671+00:00
b6d45e73-d6ba-499d-9e18-3c224c6e2839,agent_000009,influenza_a,neutral_prudent,high_interaction,negative_leaning,0,positive,negative,negative,negative,negative,support_negative,社群多数支持风险被低估观点,4,1,1,1,1,ok,,,2026-03-30T17:05:28.461534+00:00
